disasterNumber,state,declarationType,declarationDate,incidentBeginDate,incidentEndDate,fyDeclared,incidentType,declarationTitle,fipsStateCode,fipsCountyCode,date,county_FIP,topic,stance,gender,aggressiveness,temperature_avg,sentiment,id
5149,WA,FM,2016-08-22,2016-08-21,2016-08-29,2016,Fire,YALE FIRE,53,063,2016-08-21,063,Undefined / One Word Hashtags,believer,male,not aggressive,2.61563956,0.002599151563644418,"767158885824081920,767240075201634304,767373014887432192,767374999867064320,767448564981112832"
5149,WA,FM,2016-08-22,2016-08-21,2016-08-29,2016,Fire,YALE FIRE,53,063,2016-08-22,063,Undefined / One Word Hashtags,believer,male,not aggressive,1.1261197,-0.11530622560183207,"767693978602967040,767754472827289600,767851500412473344"
5149,WA,FM,2016-08-22,2016-08-21,2016-08-29,2016,Fire,YALE FIRE,53,063,2016-08-23,063,Global stance,believer,male,not aggressive,-1.9660690933333338,0.3048096505006154,"768123852853436416,768140790833045504,768163206988574720"
5149,WA,FM,2016-08-22,2016-08-21,2016-08-29,2016,Fire,YALE FIRE,53,063,2016-08-24,063,Weather Extremes,believer,female,not aggressive,-0.22081233333333336,-0.21278428360223767,"768252221867732992,768260500132016128,768263235220807680,768453928413298688,768503193919553536,768523559337598976"
5149,WA,FM,2016-08-22,2016-08-21,2016-08-29,2016,Fire,YALE FIRE,53,063,2016-08-25,063,Weather Extremes,neutral,male,not aggressive,0.136776275,-0.4174100533127785,"768642779010523136,768668434326360064"
5149,WA,FM,2016-08-22,2016-08-21,2016-08-29,2016,Fire,YALE FIRE,53,063,2016-08-26,063,Politics,believer,female,not aggressive,0.5790206,0.43902909546693164,"769006539830984704,769212895561265152,769246808287633408"
5149,WA,FM,2016-08-22,2016-08-21,2016-08-29,2016,Fire,YALE FIRE,53,063,2016-08-27,063,Global stance,believer,female,not aggressive,3.0323478,0.216604842850897,"769410962482991104,769562019469164544,769571724559994880"
5149,WA,FM,2016-08-22,2016-08-21,2016-08-29,2016,Fire,YALE FIRE,53,063,2016-08-28,063,Global stance,believer,female,not aggressive,4.395376100000001,0.1576415546152327,"769889380869677056,769894439636434944,769913744528859136"
5149,WA,FM,2016-08-22,2016-08-21,2016-08-29,2016,Fire,YALE FIRE,53,063,2016-08-29,063,Importance of Human Intervantion,believer,male,not aggressive,3.5069800000000004,0.5075957312941551,"770296002792173568,770376653008613376"
5148,WA,FM,2016-08-22,2016-08-21,2016-08-24,2016,Fire,WELLESLEY FIRE,53,063,2016-08-21,063,Undefined / One Word Hashtags,believer,male,not aggressive,2.61563956,0.002599151563644418,"767158885824081920,767240075201634304,767373014887432192,767374999867064320,767448564981112832"
5148,WA,FM,2016-08-22,2016-08-21,2016-08-24,2016,Fire,WELLESLEY FIRE,53,063,2016-08-22,063,Undefined / One Word Hashtags,believer,male,not aggressive,1.1261197,-0.11530622560183207,"767693978602967040,767754472827289600,767851500412473344"
5148,WA,FM,2016-08-22,2016-08-21,2016-08-24,2016,Fire,WELLESLEY FIRE,53,063,2016-08-23,063,Global stance,believer,male,not aggressive,-1.9660690933333338,0.3048096505006154,"768123852853436416,768140790833045504,768163206988574720"
