year,county_FIP,topic,stance,gender,aggressiveness,temperature_avg,sentiment
2006,013,Weather Extremes,neutral,male,not aggressive,-1.6521555,0.65095990691185
2006,047,Weather Extremes,neutral,undefined,aggressive,-1.1147681,0.5757773507595062
2006,075,Ideological Positions on Global Warming,neutral,male,aggressive,4.2285404,-0.5441946749448776
2006,081,Weather Extremes,denier,male,aggressive,5.4781747,-0.5650276006937027
2007,001,Weather Extremes,neutral,male,not aggressive,0.9960604915000001,-0.039634543145043506
2007,003,Weather Extremes,neutral,male,not aggressive,0.30835681815384625,-0.03218198611369499
2007,005,Weather Extremes,neutral,male,aggressive,0.28052427416978565,-0.04454493159582828
2007,007,Weather Extremes,neutral,female,aggressive,4.32628726,-0.4156789504528045
2007,009,Weather Extremes,believer,male,aggressive,-1.000882605,-0.24829943814614808
2007,011,Weather Extremes,neutral,male,aggressive,-1.9151562452,-0.13931770442594182
2007,013,Weather Extremes,neutral,male,not aggressive,0.7078703230769231,-0.10299723784223877
2007,014,Weather Extremes,neutral,male,not aggressive,-1.396147,0.0449493874549865
2007,015,Politics,neutral,male,not aggressive,-2.06453755,-0.021586698595682796
2007,017,Weather Extremes,neutral,male,not aggressive,-1.456039407142857,0.13534883020718894
2007,019,Donald Trump versus Science,believer,male,aggressive,-0.10190962000000017,-0.20937367154515663
2007,021,Donald Trump versus Science,neutral,female,not aggressive,0.3583425383333334,0.03317383602785342
2007,025,Weather Extremes,neutral,male,not aggressive,0.8256628562500001,0.09842619625269335
2007,027,Weather Extremes,neutral,female,aggressive,-0.3741622499999999,0.06430666318138442
2007,029,Weather Extremes,neutral,male,not aggressive,1.9236118339999997,0.06892443481994405
2007,031,Weather Extremes,neutral,male,aggressive,0.2625463410344829,-0.0006227319068282016
2007,033,Weather Extremes,believer,male,aggressive,-0.23239820766666666,-0.20652087296654306
2007,035,Weather Extremes,neutral,male,not aggressive,1.0162712333333332,-0.06424188840018381
2007,037,Weather Extremes,neutral,male,not aggressive,1.6026394274285716,-0.03071497435255313
2007,041,Weather Extremes,neutral,male,aggressive,-0.5639645247777777,-0.06594259423326565
2007,043,Weather Extremes,believer,female,not aggressive,1.4096727,0.1104751457214355
2007,045,Global stance,neutral,male,aggressive,6.218455633333334,-0.1369808197106844
2007,047,Weather Extremes,neutral,male,aggressive,1.0673097128260869,-0.14939734196597088
2007,049,Seriousness of Gas Emissions,believer,male,not aggressive,0.4246455250000001,0.2689067502935728
2007,051,Weather Extremes,neutral,male,not aggressive,-0.23287036411764722,-0.07615557627688307
2007,053,Donald Trump versus Science,believer,male,aggressive,-0.4156188999999998,0.10478258831818896
2007,055,Donald Trump versus Science,neutral,male,aggressive,-1.0776967816666667,-0.04777647157907484
2007,057,Weather Extremes,neutral,male,aggressive,1.6327066133333332,-0.15237468021237657
2007,059,Weather Extremes,believer,male,aggressive,0.8478829191666667,-0.2127906706302455
2007,061,Weather Extremes,neutral,male,not aggressive,0.7531233874285714,-0.0608386807124422
